.. csv-table::
    :header: **#**, **Name**, **Title**, **Date**
    :widths: 5, 35, 85, 10

    1, Alex Hocking, `Analysing hubble space telescope images <{filename}/20150904-journal-club-alex.rst>`_, 04/09/15
    2, Ankur Sinha, `Why you must use Git and how you use it <{filename}/20150916-why-you-must-use-git-and-how-you-use-it.rst>`_, 18/09/15
    3, Christoph Metzner, `Computational psychiatry: bridging the gap between genes and symptoms <{filename}/20150921-computational-psychiatry-bridging-the-gap-between-genes-and-symptoms.rst>`_, 25/09/15
    4, Neil Davey, `Network Connectivity <{filename}/20151007-network-connectivity.rst>`_, 09/10/15
    5, Volker Steuber, `Inhibitory plasticity balances excitation and inhibition in sensory pathways and memory networks <{filename}/20151013-inhibitory-plasticity-balances-excitation-and-inhibition-in-sensory-pathways-and-memory-networks.rst>`_, 16/10/15
    6, Stella Holtorf, `Memory performance of plastic spiking neural networks <{filename}/20151021-memory-performance-of-plastic-spiking-neural-networks.rst>`_ , 23/10/15
    7, Rene Boekhorst, `Artificial life: Insights in Simplexity and Complicity <{filename}/20151027-artificial-life-insights-in-simplexity-and-complicity.rst>`_ , 30/10/15
    8, Benjamin Torben-Nielsen, `Reconstruction and simulation of neocortical microcircuitry <{filename}/20151105-reconstruction-and-simulation-of-neocortical-microcircuitry.rst>`_ , 06/11/15
    9, Julia Goncharenko, `The effect of regularity synchrony and STD on deep cerebellar nuclei in physiological conditions and during downbeat nystagmus <{filename}/20151111-the-effect-of-regularity-synchrony-and-std-on-deep-cerebellar-nuclei-in-physiological-conditions-and-during-downbeat-nystagmus.rst>`_ , 13/11/15
    10, Ankur Sinha, `Homoeostatic structural plasticity and cortical reorganization after focal retinal lesions <{filename}/20151118-homoeostatic-structural-plasticity-and-cortical-reorganization-after-focal-retinal-lesions.rst>`_ , 20/11/15
    11, Weam Binjumah, `Reducing bit error rate in optical data transmission using linear SVM <{filename}/20151125-reducing-bit-error-rate-in-optical-data-transmission-using-linear-svm.rst>`_ , 27/11/15
    12, Sylvia Beka, `Characteristics of Type 1 Diabetes Susceptibility Regions <{filename}/20151221-characteristics-of-type-1-diabetes-susceptibility-regions.rst>`__, 04/12/15
    13, Willem Wybo, `Capturing dendritic computation with the Green’s function formalism <{filename}/20160106-capturing-dendritic-computation-with-the-green-s-function-formalism.rst>`__ , 15/01/16
    14, Yi Sun,`Development of computational models for characterizing small ice particles based on their two-dimensional light scattering patterns <{filename}/20160119-development-of-computational-models-for-characterizing-small-ice-particles-based-on-their-two-dimensional-light-scattering-patterns.rst>`__, 22/01/16
    15, Maria Psarrou, `Gain modulation from background synaptic input <{filename}/20160127-gain-modulation-from-background-synaptic-input.rst>`__, 29/01/16
    16, Kirsty Kidd , `Exploring the cerebellar Purkinje cell <{filename}/20160203-exploring-the-cerebellar-purkinje-cell.rst>`__, 05/02/16
    17, Jean Petrić, `The software bugs fairy tale <{filename}/20160217-the-software-bugs-fairy-tale.rst>`__, 19/02/16
    18, Maria Schilstra, `BoB: stochastic simulation of a process with non-Markov dynamics <{filename}/20160302-bob-stochastic-simulation-of-a-process-with-non-markov-dynamics.rst>`__, 04/03/16
    19, Michael Schmuker, `Exploring neural computation in odour space <{filename}/20160204-exploring-neural-computation-in-odour-space.rst>`__ , 11/03/16
    20, Ankur Sinha, `Dendritic Computation <{filename}/20160330-dendritic-computation.rst>`__, 01/04/16
    21, Edward Wakelam, `The potential for using artificial intelligence techniques to improve e-Learning systems <{filename}/20160406-the-potential-for-using-artificial-intelligence-techniques-to-improve-e-learning-systems.rst>`__ , 08/04/16
    22, Felix Effenberger, `Forests are TREES 2 - Dendritic tree topology revisited <{filename}/20160419-forests-are-trees-2-dendritic-tree-topology-revisited.rst>`__, 22/04/16
    23, Marco Craveiro, `Using watertight polygon meshes for neuronal morphology representation <{filename}/20160427-using-watertight-polygon-meshes-for-neuronal-morphology-representation.rst>`__, 29/04/16

