Marco Craveiro,Update on my research: using watertight polygon meshes for neuronal morphology representation,20170201-update-on-my-research-using-watertight-polygon-meshes-for-neuronal-morphology-representation.rst,2017-02-03
Sam Sutton,Improving the performance of spatial searching in BTMORPH: An investigation into the implementation of R-tree spatial indexing,20170208-improving-the-performance-of-spatial-searching-in-btmorph-an-investigation-into-the-implementation-of-r-tree-spatial-indexing.rst,2017-02-10
Deepak Panday,Feature weighting as a tool for clustered based imputation model,20170216-feature-weighting-as-a-tool-for-clustered-based-imputation-model.rst,2017-02-17
Ankur Sinha,Multi-contact synapses for stable networks: a spike-timing dependent model of dendritic spine plasticity and turnover,20170220-multi-contact-synapses-for-stable-networks-a-spike-timing-dependent-model-of-dendritic-spine-plasticity-and-turnover.rst,2017-02-24
Anuradha Sulane,Detecting emotion of a person from their voice,20170302-detecting-emotion-of-a-person-from-their-voice.rst,2017-03-03
Michael Schmuker,"Neuromorphic hardware - what is it, why is everybody talking about it, and does it live up to the hype?",20170309-neuromorphic-hardware-what-is-it-why-is-everybody-talking-about-it-and-does-it-live-up-to-the-hype-.rst,2017-03-10
Jean Petrić,Reproducible research with Knitr,20170315-reproducible-research-with-knitr.rst,2017-03-17
Alex Hocking,Mining Hubble Space Telescope images,20170324-mining-hubble-space-telescope-images.rst,2017-03-24
Christoph Metzner,Automated validation and comparison of neurophysiological biomarkers of psychiatric disorders,20170329-automated-validation-and-comparison-of-neurophysiological-biomarkers-of-psychiatric-disorders.rst,2017-03-31
Edward Wakelam,Predictive analytics based student intervention,20170404-predictive-analytics-based-student-intervention.rst,2017-04-07
--,,,2017-04-14
--,,,2017-04-21
Ankur Sinha,Loss of sensory input causes rapid structural changes of inhibitory neurons in adult mouse visual cortex,20170427-loss-of-sensory-input-causes-rapid-structural-changes-of-inhibitory-neurons-in-adult-mouse-visual-cortex.rst,2017-04-28
Paul Moggridge,,,2017-05-05
Maria Psarrou,An introduction to NEURON,20170511-an-introduction-to-neuron.rst,2017-05-12
Anuradha Sulane,Introduction to signal processing using FFT,20170518-introduction-to-signal-processing-using-fft.rst,2017-05-19
Rene te Boekhorst,Probability distributions for time durations,20170525-probability-distributions-for-time-durations.rst,2017-05-26
Cristina Barrero-Sicilia,Rapid gene isolation in barley and wheat by mutant chromosome sequencing,20170531-rapid-gene-isolation-in-barley-and-wheat-by-mutant-chromosome-sequencing.rst,2017-06-02
Marco Craveiro,Model driven engineering: an emerging technical space,20170605-model-driven-engineering-an-emerging-technical-space.rst,2017-06-09
--,,,2017-06-16
Christoph Metzner,Role of intraglomerular circuits in shaping temporally structured responses to naturalistic inhalation-driven sensory input to the olfactory bulb,20170614-role-of-intraglomerular-circuits-in-shaping-temporally-structured-responses-to-naturalistic-inhalation-driven-sensory-input-to-the-olfactory-bulb.rst,2017-06-23
Andre-Daniel Robu,,,0
Weam Binjumah,,,0
Yi Sun,,,0
Volker Steuber,,,0
Maria Schilstra,,,0
