"Damien Drix","Dendritic Computation: Neural Networks beyond Point Neurons",,2018-01-24,1300,1400,"C408, University of Hertfordshire, College Lane, Hatfield, UK, AL10 9AB",0
Cosme Llerena,"Blind Source Separation and Machine Learning Applications",,2018-01-26,0,0,0,1
Volker Steuber,"Resources for Neuronal Modelling","20180129-resources-for-neuronal-modelling.rst",2018-02-02,1600,1700,0,1
Ankur Sinha,,,0,0,0,0,1
Rebecca Miko,,,0,0,0,0,1
Neil Davey,,,0,0,0,0,1
Marco Craveiro,,,0,0,0,0,1
Sam Sutton,,,0,0,0,0,1
Damien Drix,,,0,0,0,0,1
Yi Sun,,,0,0,0,0,1
Alex Hocking,,,0,0,0,0,1
Maria Psarrou,,,0,0,0,0,1
Ronak Bhavsar,,,0,0,0,0,1
Anuradha Sulane,,,0,0,0,0,1
Rene te Boekhorst,,,0,0,0,0,1
Deepak Panday,,,0,0,0,0,1
Edward Wakelam,,,0,0,0,0,1
Christoph Metzner,,,0,0,0,0,1
Julia Goncharenko,,,0,0,0,0,1
Weam Binjumah,,,0,0,0,0,1
Michael Schmuker,,,0,0,0,0,1
